type,amount,nameOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
CASH_IN,176720.31,C1264589669,C741593058,3285028.57,3108308.25,0
CASH_IN,29491.38,C367206011,C639147489,342728.7,313237.32,0
PAYMENT,12234.3,C286865881,M743298924,0.0,0.0,0
CASH_OUT,1150717.15,C518290039,C1280843273,39045.89,1189763.04,1
CASH_OUT,577301.73,C857985850,C1545652297,0.0,577301.73,1
CASH_IN,511737.06,C1706869385,C208563371,555411.78,86590.95,0
CASH_OUT,395531.72,C705295084,C657474312,0.0,395531.72,1
PAYMENT,354.56,C304524515,M1104691180,0.0,0.0,0
CASH_OUT,141730.2,C1282179379,C1943218565,439133.62,580863.82,1
CASH_OUT,242296.17,C657317205,C144113427,0.0,242296.17,1
CASH_IN,349163.03,C316782004,C435365761,1988745.84,1639582.81,0
TRANSFER,48078.85,C80387919,C1965664830,0.0,0.0,1
CASH_OUT,1494146.93,C171779643,C808534536,0.0,1494146.93,1
CASH_IN,399525.91,C41716225,C1576355311,766565.35,367039.44,0
CASH_OUT,73505.03,C1373514494,C1448276199,483393.37,556898.4,0
CASH_OUT,26478.48,C2100222508,C2123765878,403400.86,429879.34,1
PAYMENT,32483.43,C268307851,M232704217,0.0,0.0,0
CASH_IN,177691.11,C1001251596,C1501195372,1033294.01,855602.9,0
CASH_OUT,54679.3,C1393505243,C989565254,457362.61,512041.92,0
CASH_OUT,30786.53,C890714001,C1047276540,5990576.31,6021362.84,0
CASH_IN,55992.79,C239790524,C879243911,1012246.06,956253.27,0
CASH_IN,518662.71,C93348424,C1167982668,514609.9,0.0,0
TRANSFER,334276.08,C1374233613,C443044241,0.0,0.0,1
CASH_IN,72087.14,C1492491532,C1911284764,2131121.93,2059034.79,0
CASH_OUT,260476.78,C1676129137,C519958654,976319.86,1236796.64,0
CASH_OUT,1672570.76,C1346753121,C531695406,11445.41,1684016.17,1
CASH_OUT,13659.45,C443989822,C1408237978,474620.98,488280.42,1
CASH_OUT,15371.72,C1267596180,C784278518,616240.72,631612.44,1
CASH_OUT,408724.54,C629384731,C1039886956,0.0,408724.54,1
CASH_OUT,4961.5,C579509361,C338957550,602837.94,1009769.96,0
TRANSFER,186567.41,C1875051976,C50809455,0.0,0.0,1
CASH_OUT,31296.82,C1545346675,C1394569574,6340652.08,6371948.9,0
CASH_OUT,208868.36,C1027606228,C1691226425,78757.57,287625.93,1
TRANSFER,753723.54,C1436025461,C1927560310,0.0,0.0,1
PAYMENT,12874.23,C1672542537,M1699010591,0.0,0.0,0
CASH_OUT,6844.73,C2006451816,C1380348902,264100.7,270945.42,1
CASH_IN,171877.38,C24706787,C31223451,4155800.24,3983922.86,0
CASH_OUT,2075328.73,C949325212,C804306879,0.0,2075328.73,1
CASH_IN,141981.44,C74077506,C1261178514,0.0,0.0,0
TRANSFER,17320.91,C788790720,C1589547066,0.0,0.0,1
PAYMENT,11919.65,C677632245,M1622123001,0.0,0.0,0
PAYMENT,5644.53,C1265441616,M1375857015,0.0,0.0,0
PAYMENT,2666.58,C1946006773,M785372450,0.0,0.0,0
PAYMENT,7758.08,C1540048264,M1578602793,0.0,0.0,0
CASH_OUT,7078157.11,C151517061,C51144678,6398391.47,13476548.58,1
CASH_IN,140444.12,C375933263,C463612289,1862793.23,1149259.58,0
CASH_OUT,3260215.75,C1978325769,C297774281,0.0,3260215.75,1
CASH_OUT,110926.28,C734382497,C19570051,1354110.88,1465037.15,0
PAYMENT,8512.37,C1729736435,M751065660,0.0,0.0,0
TRANSFER,202978.65,C1932446672,C966173999,2122336.55,2325315.19,1
CASH_OUT,144065.75,C1124206695,C1419423459,203138.85,347204.6,1
PAYMENT,22898.69,C1287284991,M1208464140,0.0,0.0,0
CASH_OUT,114300.56,C1236504498,C1519842122,583029.14,697329.69,0
TRANSFER,30548.46,C1322381590,C876969670,0.0,0.0,1
PAYMENT,13134.5,C1059460136,M1431416558,0.0,0.0,0
CASH_OUT,244814.12,C696147355,C1941798570,7106855.47,7351669.59,1
CASH_OUT,27286.66,C2119382172,C2024067426,11633.47,38920.14,1
TRANSFER,40651.96,C1619881995,C293156526,0.0,0.0,1
PAYMENT,5471.83,C1531981364,M1368895203,0.0,0.0,0
CASH_OUT,400366.03,C442733116,C844492471,0.0,400366.03,0
TRANSFER,4342582.37,C1976332867,C1903233179,0.0,0.0,1
PAYMENT,1580.79,C1886578216,M132149120,0.0,0.0,0
PAYMENT,42977.3,C865289821,M918379847,0.0,0.0,0
PAYMENT,34032.49,C1607283706,M1647922795,0.0,0.0,0
PAYMENT,6647.88,C627878530,M1575755458,0.0,0.0,0
PAYMENT,5096.45,C1946682162,M797008863,0.0,0.0,0
CASH_OUT,137831.61,C1917194377,C1153095452,3488591.17,3626422.78,0
TRANSFER,70849.36,C1473771627,C345988685,2330968.39,2401817.75,0
CASH_OUT,63624.08,C431038121,C1925188324,0.0,63624.08,1
CASH_OUT,132208.66,C1416400752,C571331649,28266.63,160475.3,0
CASH_OUT,205740.97,C956085578,C250096102,129371.21,335112.17,0
PAYMENT,2972.14,C1749785140,M176270298,0.0,0.0,0
CASH_OUT,358514.47,C1193721812,C1890417681,4327861.89,4686376.36,0
CASH_OUT,111288.5,C1779786801,C1796647535,7328992.48,7440280.98,0
TRANSFER,10000000.0,C1237313447,C1468356154,0.0,0.0,1
CASH_OUT,1379501.18,C664281648,C1499411026,0.0,1379501.18,1
TRANSFER,1746415.27,C1430436436,C1190598592,0.0,0.0,1
CASH_IN,107023.88,C1786472168,C1413971452,9528.0,0.0,0
TRANSFER,115461.48,C1864352304,C238575749,0.0,0.0,1
CASH_OUT,8075.88,C997161346,C236960753,122698.25,130774.13,0
CASH_OUT,74863.1,C1669065135,C7354295,1122131.55,1196994.65,0
CASH_OUT,12563.62,C2100318289,C354579271,1668908.19,1681471.81,0
PAYMENT,10829.29,C1890138213,M2100152370,0.0,0.0,0
TRANSFER,19952.89,C10974087,C1896366978,0.0,0.0,1
CASH_OUT,300436.25,C222606744,C871700258,452019.32,752455.57,0
PAYMENT,24841.56,C1133685545,M2009932095,0.0,0.0,0
CASH_OUT,8931607.89,C849209216,C754619416,141515.57,9073123.46,1
TRANSFER,400877.12,C1647279929,C1862265469,1098070.46,1498947.58,0
TRANSFER,16619.95,C269855064,C501496280,0.0,0.0,1
CASH_OUT,77887.12,C1040035765,C1645636028,282895.33,360782.45,0
CASH_OUT,4177467.46,C376454889,C1559513408,0.0,4177467.46,1
CASH_IN,190546.48,C920583319,C1759359245,0.0,0.0,0
CASH_OUT,590636.45,C2030634226,C1525412446,147877.18,295718.99,0
CASH_OUT,244248.72,C1261116554,C993524345,179348.46,423597.17,0
CASH_IN,471792.53,C1516845646,C1248627099,0.0,0.0,0
CASH_OUT,59106.82,C454763504,C1156197245,362782.84,421889.66,0
CASH_OUT,116012.81,C1400239432,C1971329000,1107325.42,1223338.23,0
PAYMENT,10198.63,C856455654,M565343996,0.0,0.0,0
TRANSFER,28308.97,C531625667,C1312031909,0.0,0.0,1
PAYMENT,37627.23,C2022646289,M1022859995,0.0,0.0,0
TRANSFER,2701644.17,C1273953731,C1701713893,0.0,0.0,1
PAYMENT,8309.23,C1024143258,M71893864,0.0,0.0,0
CASH_OUT,103006.75,C1828984140,C551209075,1727551.78,1830558.53,0
CASH_OUT,2373.08,C2131213167,C2132391654,54347.09,56720.17,0
CASH_IN,503056.41,C2015666031,C824944063,1011110.15,508053.74,0
PAYMENT,9022.7,C600096075,M1940590191,0.0,0.0,0
PAYMENT,27006.65,C46058674,M1680531955,0.0,0.0,0
TRANSFER,51383.81,C1784412563,C411172850,1082564.06,1133947.87,0
TRANSFER,40231.56,C727542577,C2002670560,0.0,0.0,1
CASH_OUT,10000000.0,C956657254,C383956352,198226.59,10198226.59,1
CASH_OUT,271015.29,C744377114,C261609333,613119.78,884135.07,0
PAYMENT,58209.41,C672065540,M827364016,0.0,0.0,0
TRANSFER,44160.26,C64336442,C2068069049,1756862.07,1801022.33,0
CASH_IN,232030.68,C1437295643,C649515326,357059.55,125028.86,0
TRANSFER,10000000.0,C898870268,C1236804041,0.0,0.0,1
CASH_OUT,1268931.21,C199205257,C1485135599,10940338.7,12209269.9,1
CASH_OUT,146681.74,C356110177,C1772296269,63872.75,210554.49,1
PAYMENT,17711.97,C284921038,M2118637063,0.0,0.0,0
CASH_OUT,247867.38,C891188904,C1683675619,255248.57,503115.95,0
CASH_OUT,146098.5,C585137361,C2030546933,229836.16,375934.66,0
PAYMENT,2381.82,C2088211385,M1678081024,0.0,0.0,0
CASH_IN,37331.83,C1189482664,C1660119981,2577213.66,2539881.83,0
CASH_OUT,1634229.02,C1728886980,C544429933,0.0,1634229.02,1
CASH_OUT,98897.07,C1955555137,C1535626226,497573.39,596470.46,1
CASH_OUT,180291.21,C2051781591,C15303361,288766.5,469057.71,0
PAYMENT,3343.47,C1999420634,M308190737,0.0,0.0,0
TRANSFER,210691.92,C836135331,C2142575639,0.0,0.0,1
PAYMENT,38674.5,C650251779,M776546895,0.0,0.0,0
CASH_OUT,4713935.64,C791079404,C62464448,529413.85,5243349.49,1
CASH_OUT,141837.8,C221305576,C1119520541,5845089.37,5986927.17,1
CASH_IN,406659.86,C343545869,C1150153178,1126594.79,719934.93,0
CASH_OUT,205985.92,C1042525891,C1165155051,5381798.39,5365622.24,0
PAYMENT,19413.81,C1071166009,M186409040,0.0,0.0,0
PAYMENT,19317.53,C1005428092,M1940657925,0.0,0.0,0
CASH_OUT,449577.54,C526743689,C180356981,4027089.85,4476667.39,0
CASH_OUT,2895954.99,C287337523,C857187005,442643.89,3338598.88,1
TRANSFER,1064995.85,C932045964,C69741433,0.0,0.0,1
CASH_IN,103126.72,C1146767181,C681101640,12640151.63,12537024.91,0
CASH_IN,79561.05,C1352685045,C924533138,333672.13,254111.07,0
TRANSFER,2147778.33,C1991870331,C501280303,0.0,0.0,1
TRANSFER,1170213.18,C902859339,C1563520398,0.0,0.0,1
PAYMENT,5508.97,C1343003769,M2143387302,0.0,0.0,0
CASH_OUT,7454553.06,C1952070142,C1302887939,0.0,7454553.06,1
TRANSFER,9301213.46,C149938639,C1918368485,0.0,0.0,1
PAYMENT,7310.9,C351212137,M257113365,0.0,0.0,0
TRANSFER,1608571.02,C659082738,C2146348843,0.0,0.0,1
CASH_OUT,231712.6,C1266137345,C1483768187,917482.12,1604767.4,0
CASH_OUT,63210.91,C1361619963,C1265655539,6697.1,69908.01,1
PAYMENT,6599.75,C278511904,M131668280,0.0,0.0,0
DEBIT,1584.17,C27430955,C842037255,2165373.96,2166958.12,0
CASH_OUT,468728.56,C2003664923,C1972182382,1122890.98,1591619.54,0
TRANSFER,301579.42,C1802836404,C1121500032,0.0,0.0,1
CASH_OUT,378623.9,C1316763794,C140649109,0.0,378623.9,1
PAYMENT,4288.2,C392350223,M1244924857,0.0,0.0,0
TRANSFER,86848.88,C317224032,C2050121907,0.0,0.0,1
CASH_OUT,353419.03,C1431213382,C1347770985,2199020.41,2552439.44,0
CASH_OUT,94022.9,C71520776,C1066420495,47846.54,141869.44,0
CASH_IN,22242.57,C1640571821,C1618343520,387566.8,365324.23,0
TRANSFER,1010857.38,C984621443,C1664913171,0.0,0.0,1
CASH_OUT,755813.12,C127671231,C974221574,494575.27,1250388.38,1
CASH_IN,232221.44,C1760156215,C1219369531,20928706.24,20696484.8,0
TRANSFER,4162555.99,C1124374325,C460771007,0.0,0.0,1
PAYMENT,8542.66,C976939650,M1204045785,0.0,0.0,0
CASH_OUT,827921.27,C1304293347,C957732076,1025081.63,1853002.91,1
PAYMENT,18024.7,C637211758,M684479409,0.0,0.0,0
TRANSFER,322991.82,C570470570,C1232811511,0.0,0.0,1
CASH_OUT,25819.42,C1377632018,C20127425,0.0,25819.42,1
CASH_OUT,144014.0,C323261518,C1465898375,0.0,144014.0,0
TRANSFER,3580542.06,C1112407295,C513573961,0.0,0.0,1
